pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
TOI-125,b,TOI-125 b,Transit,0,2,4.65382000,0.00032000,-0.00031000,0,0.052100,0.000900,-0.000820,0,0.183000,0.140000,-0.098000,0,88.990,0.700,-0.810,0,,,,0,,0.246,0.008,-0.007,0,,,,0,0,0,0,0,01h34m22.735s,23.594729,-66d40m32.95s,-66.675819,111.40,1.30,-1.20,0,111.41,0.44,-0.44,0,10.892,0.016,0,V (Johnson),10.718,,0,5282.00,67.00,-75.00,0,0.87,0.05,-0.04,0,0.85,0.02,-0.02,0,2019-11-07,Transiting Exoplanet Survey Satellite (TESS)
TOI-125,c,TOI-125 c,Transit,0,2,9.15067000,0.00062000,-0.00069000,0,0.081800,0.001400,-0.001300,0,0.065000,0.067000,-0.046000,0,88.520,0.320,-0.190,0,,,,0,,0.249,0.009,-0.009,0,,,,0,0,0,0,0,01h34m22.735s,23.594729,-66d40m32.95s,-66.675819,111.40,1.30,-1.20,0,111.41,0.44,-0.44,0,10.892,0.016,0,V (Johnson),10.718,,0,5282.00,67.00,-75.00,0,0.87,0.05,-0.04,0,0.85,0.02,-0.02,0,2019-11-07,Transiting Exoplanet Survey Satellite (TESS)
TOI-150,b,TOI-150.01,Transit,0,1,5.85748700,0.00008900,-0.00009700,0,0.070370,0.000870,-0.000880,0,0.262000,0.045000,-0.037000,0,88.090,0.980,-0.680,0,2.51000,0.12000,-0.12000,0,Mass,1.255,0.021,-0.019,0,1.68000,0.12000,-0.12000,0,0,0,0,0,07h31m51.76s,112.965667,-73d36m22.15s,-73.606153,336.00,2.00,-2.00,0,339.56,1.94,-1.94,0,,,,,11.341,,0,6255.00,90.00,-90.00,0,1.35,0.04,-0.03,0,1.53,0.01,-0.01,0,2019-11-07,Transiting Exoplanet Survey Satellite (TESS)
TOI-163,b,TOI-163 b,Transit,0,1,4.23130600,0.00006300,-0.00005700,0,0.058000,0.001400,-0.001400,0,0.000000,,,0,87.240,0.470,-0.450,0,1.22000,0.12000,-0.12000,0,Mass,1.489,0.034,-0.034,0,0.49000,0.05900,-0.05500,0,0,0,0,0,05h19m04.3s,79.767917,-71d53m43.9s,-71.895528,416.50,8.13,-8.13,0,416.50,8.13,-8.13,0,,,,,11.219,,0,6495.00,90.00,-90.00,0,1.44,0.03,-0.03,0,1.65,0.02,-0.03,0,2019-11-07,Transiting Exoplanet Survey Satellite (TESS)
TOI-172,b,TOI-172 b,Transit,0,1,9.47725000,0.00064000,-0.00079000,0,0.091400,0.001700,-0.001700,0,0.380600,0.009300,-0.009000,0,88.200,1.100,-1.000,0,5.42000,0.22000,-0.20000,0,Mass,0.965,0.032,-0.029,0,7.53000,0.65000,-0.72000,0,0,0,0,0,21h06m31.65s,316.631875,-26d41m34.29s,-26.692858,336.47,6.79,-6.79,0,346.02,7.30,-7.30,0,,,,,11.193,,0,5645.00,50.00,-50.00,0,1.13,0.07,-0.06,0,1.78,0.05,-0.04,0,2019-03-28,Transiting Exoplanet Survey Satellite (TESS)
TOI-216,c,TOI-216.01,Transit,0,2,34.55600000,0.01400000,-0.01000000,0,0.206900,0.010700,-0.008200,0,0.029000,0.037000,-0.020000,0,89.830,0.110,-0.120,0,0.62927,0.53488,-0.31463,0,Mass,1.007,0.052,-0.037,0,0.76000,0.66000,-0.38000,0,1,0,0,0,04h55m55.25s,73.980208,-63d15m36.2s,-63.260056,178.84,0.89,-0.88,0,178.86,0.88,-0.88,0,12.324,0.069,0,V (Johnson),12.163,,0,5026.00,125.00,-125.00,0,0.87,0.04,-0.03,0,0.84,0.04,-0.03,0,2019-05-09,Transiting Exoplanet Survey Satellite (TESS)
TOI-216,b,TOI-216.02,Transit,0,2,17.08900000,0.01100000,-0.01500000,0,0.129300,0.006700,-0.005100,0,0.132000,0.059000,-0.023000,0,88.364,0.042,-0.068,0,0.09439,0.06293,-0.04405,0,Mass,0.686,0.145,-0.074,0,0.34000,0.31000,-0.18000,0,1,0,0,0,04h55m55.25s,73.980208,-63d15m36.2s,-63.260056,178.84,0.89,-0.88,0,178.86,0.88,-0.88,0,12.324,0.069,0,V (Johnson),12.163,,0,5026.00,125.00,-125.00,0,0.87,0.04,-0.03,0,0.84,0.04,-0.03,0,2019-05-09,Transiting Exoplanet Survey Satellite (TESS)
TOI-270,b,TOI-270 b,Transit,0,3,3.36008000,0.00006500,-0.00007000,0,0.030600,0.003300,-0.005700,0,0.000000,,,0,88.650,0.850,-1.400,0,,,,0,,0.111,0.008,-0.007,0,,,,0,0,0,0,1,04h33m39.72s,68.415500,-51d57m22.44s,-51.956233,22.45,0.02,-0.02,0,22.49,0.01,-0.01,0,12.620,0.030,0,V (Johnson),11.631,,0,3386.00,137.00,-131.00,0,0.40,0.02,-0.02,0,0.38,0.02,-0.02,0,2019-08-01,Transiting Exoplanet Survey Satellite (TESS)
TOI-270,c,TOI-270 c,Transit,0,3,5.66017200,0.00003500,-0.00003500,0,0.047200,0.003000,-0.003300,0,0.000000,,,0,89.530,0.300,-0.420,0,,,,0,,0.216,0.012,-0.012,0,,,,0,0,0,0,1,04h33m39.72s,68.415500,-51d57m22.44s,-51.956233,22.45,0.02,-0.02,0,22.49,0.01,-0.01,0,12.620,0.030,0,V (Johnson),11.631,,0,3386.00,137.00,-131.00,0,0.40,0.02,-0.02,0,0.38,0.02,-0.02,0,2019-08-01,Transiting Exoplanet Survey Satellite (TESS)
TOI-270,d,TOI-270 d,Transit,0,3,11.38014000,0.00011000,-0.00010000,0,0.073300,0.004200,-0.004200,0,0.000000,,,0,89.690,0.160,-0.120,0,,,,0,,0.190,0.011,-0.011,0,,,,0,0,0,0,1,04h33m39.72s,68.415500,-51d57m22.44s,-51.956233,22.45,0.02,-0.02,0,22.49,0.01,-0.01,0,12.620,0.030,0,V (Johnson),11.631,,0,3386.00,137.00,-131.00,0,0.40,0.02,-0.02,0,0.38,0.02,-0.02,0,2019-08-01,Transiting Exoplanet Survey Satellite (TESS)
TOI-813,b,TOI-813 b,Transit,0,1,83.89110000,0.00270000,-0.00310000,0,0.423000,0.031000,-0.037000,0,0.000000,,,0,89.640,0.240,-0.270,0,,,,0,,0.599,0.034,-0.034,0,,,,0,0,0,0,0,04h50m46.57s,72.694042,-60d54m19.62s,-60.905450,265.15,1.58,-1.58,0,265.15,1.58,-1.58,0,10.322,0.014,0,V (Johnson),10.235,,0,5907.00,150.00,-150.00,0,1.32,0.06,-0.06,0,1.94,0.10,-0.10,0,2020-01-30,Transiting Exoplanet Survey Satellite (TESS)
HD 39091,c,pi Men c,Transit,0,2,6.26790000,0.00046000,-0.00046000,0,0.068390,0.000500,-0.000500,0,0.000000,,,0,87.456,0.085,-0.076,0,0.01517,0.00264,-0.00271,0,Mass,0.182,0.004,-0.004,0,2.97000,0.57000,-0.55000,0,0,0,0,1,05h37m09.89s,84.291214,-80d28m08.8s,-80.469124,18.28,0.02,-0.02,0,18.28,0.02,-0.02,0,5.670,,0,V (Johnson),5.491,,0,6037.00,45.00,-45.00,0,1.09,0.04,-0.04,0,1.10,0.02,-0.02,0,2018-11-15,Transiting Exoplanet Survey Satellite (TESS)
